한글명,추가명,표준코드,추가필터링,
로보티즈,,KR7108490004,,
로스웰,,HK0000295359,,
로지시스,,KR7067730002,,
로체시스템즈,,KR7071280002,,
로킷헬스케어,,KR7376900007,,
롤링스톤,,KR7214610008,,
롯데관광개발,,KR7032350001,,
롯데렌탈,,KR7089860001,,
롯데손해보험,,KR7000400002,,
롯데쇼핑,롯데백화점,KR7023530009,,
롯데에너지머티리얼즈,,KR7020150009,,
롯데웰푸드,,KR7280360009,,
롯데이노베이트,,KR7286940002,,
롯데정밀화학,,KR7004000006,,
롯데지주,,KR7004990008,,
롯데칠성,롯데칠성음료,KR7005300009,,
롯데케미칼,,KR7011170008,,
롯데하이마트,하이마트,KR7071840003,,
루닛,,KR7328130000,,
루멘스,,KR7038060000,,
루미르,,KR7474170008,,
리가켐바이오,,KR7141080002,,
리노공업,,KR7058470006,,
리더스코스메틱,,KR7016100000,,
리드코프,,KR7012700001,,
리메드,,KR7302550009,,
리튬포어스,,KR7073570004,,
리파인,,KR7377450002,,
린드먼아시아,,KR7277070009,,
링네트,,KR7042500009,,
링크드,,KR7193250008,,
링크솔루션,,KR7474650009,,
링크제니시스,,KR7219420007,,
마녀공장,,KR7439090002,,
마니커,,KR7027740000,,
마니커에프앤지,,KR7195500004,,
마음AI,,KR7377480009,,
마이크로디지탈,,KR7305090003,,
마이크로컨텍솔,,KR7098120009,,
마이크로투나노,,KR7424980001,,
마크로젠,,KR7038290003,,
만호제강,,KR7001080001,,
매일유업,,KR7267980001,,
매일홀딩스,,KR7005990007,,
매커스,,KR7093520005,,
머큐리,,KR7100590009,,
멀티캠퍼스,,KR7067280008,,
메가스터디,,KR7072870009,,
메가스터디교육,,KR7215200007,,
메가엠디,,KR7133750000,,
메가터치,,KR7446540007,,
메드팩토,,KR7235980000,,
메디아나,,KR7041920000,,
메디앙스,,KR7014100002,,
메디콕스,,KR7054180005,,
메디톡스,,KR7086900008,,
메디포스트,,KR7078160009,,
메리츠금융지주,,KR7138040001,,
메쎄이상,,KR7408920007,,
메이슨캐피탈,,KR7021880000,,
메지온,,KR7140410002,,
메카로,,KR7241770007,1,
메타랩스,,KR7090370008,,
메타바이오메드,,KR7059210005,,
메타케어,,KR7118000009,,
멕아이씨에스,,KR7058110008,,
명문제약,,KR7017180001,,
명신산업,,KR7009900002,,
명인제약,,KR7317450005,,
모나리자,,KR7012690004,1,
모나미,,KR7005360003,,
모나용평,,KR7070960000,,
모니터랩,,KR7434480000,,
모다이노칩,,KR7080420003,,
모델솔루션,,KR7417970001,,
모두투어,,KR7080160005,,
모바일어플라이언스,,KR7087260006,,
모베이스,,KR7101330009,,
모베이스전자,,KR7012860003,,
모비데이즈,,KR7363260001,,
모비릭스,,KR7348030008,,
모비스,,KR7250060001,,
모아데이타,,KR7288980006,,
모아라이프플러스,,KR7142760008,,
모아텍,,KR7033200007,,
모코엠시스,,KR7333050003,,
모토닉,,KR7009680000,,
모트렉스,,KR7118990001,,
모티브링크,,KR7463480004,,
모헨즈,,KR7006920003,,
무림P&P,무림피앤피,KR7009580002,,
무림SP,,KR7001810001,,
무림페이퍼,,KR7009200007,,
무학,,KR7033920000,,
문배철강,,KR7008420002,,
미디어젠,,KR7279600001,,
미래나노텍,,KR7095500005,,
미래반도체,,KR7254490006,,
미래산업,,KR7025560004,,
미래생명자원,,KR7218150001,,
미래아이앤지,,KR7007120009,,
미래에셋벤처투자,,KR7100790005,,
미래에셋생명,,KR7085620003,,
미래에셋증권,,KR7006800007,,
미래컴퍼니,,KR7049950009,,
미스터블루,,KR7207760000,,
미스토홀딩스,,KR7081660003,,
미원상사,,KR7002840007,,
미원에스씨,,KR7268280005,,
미원홀딩스,,KR7107590002,,
미원화학,,KR7134380005,,
미창석유,,KR7003650009,,
미코,,KR7059090001,,
미투온,,KR7201490000,,
미트박스,,KR7475460002,,
민테크,,KR7452200009,,
밀라노부동산,,KR570101B954,,
바디텍메드,,KR7206640005,,
바른손,,KR7018700005,,
바른손이앤에이,,KR7035620004,,
바이넥스,,KR7053030003,,
바이브컴퍼니,,KR7301300000,,
바이오노트,,KR7377740006,,
바이오니아,,KR7064550007,,
바이오다인,,KR7314930009,,
바이오비쥬,,KR7489460006,,
바이오솔루션,,KR7086820008,,
바이오스마트,,KR7038460002,,
바이오에프디엔씨,바이오FD&C,KR7251120002,,
바이오인프라,,KR7199730003,,
